,Brand,Model,Case Material,Strap Material,Movement Type,Water Resistance,Case Diameter (mm),Case Thickness (mm),Band Width (mm),Dial Color,Crystal Material,Complications,Power Reserve,Price (USD)
378,IWC,Portugieser,Stainless Steel,Leather,Automatic,3.4011973816621555,3.713572066704308,2.509599262378372,3.091042453358316,Blue,Sapphire,"Date, Power Reserve Indicator",3.7376696182833684,8500.0
380,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,4.787491742782046,3.7013019741124933,2.1162555148025524,2.995732273553991,Blue,Sapphire,Date,3.8066624897703196,39000.0
381,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,3.912023005428146,3.6109179126442243,2.2823823856765264,2.995732273553991,Blue,Sapphire,Date,3.6888794541139363,19500.0
382,Hublot,Big Bang,Titanium,Rubber,Automatic,4.605170185988092,3.784189633918261,2.6741486494265287,3.1780538303479458,Black,Sapphire,"Date, Chronograph",4.276666119016055,13000.0
383,Zenith,El Primero,Stainless Steel,Leather,Automatic,4.605170185988092,3.7376696182833684,2.545531271604435,2.995732273553991,White,Sapphire,"Date, Chronograph, Moon Phase",3.912023005428146,7500.0
384,Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,5.0106352940962555,3.713572066704308,2.3978952727983707,3.091042453358316,Blue,Sapphire,"Date, World Time",4.0943445622221,23000.0
385,Breguet,Classique,18K White Gold,Leather,Manual,3.4011973816621555,3.6888794541139363,1.9387416595767009,2.995732273553991,Silver,Sapphire,None,3.912023005428146,24000.0
387,Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,3.912023005428146,3.784189633918261,2.670694414558441,3.091042453358316,Black,Sapphire,"Date, Chronograph",3.7376696182833684,6000.0
388,Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,4.605170185988092,3.58351893845611,2.4849066497880004,2.995732273553991,Silver,Sapphire,Date,4.248495242049359,7500.0
389,Omega,Speedmaster,Stainless Steel,Stainless Steel,Automatic,3.912023005428146,3.7376696182833684,2.617395832834079,2.995732273553991,Black,Sapphire,"Chronograph, Tachymeter",4.0943445622221,6500.0
391,Breitling,Superocean,Stainless Steel,Rubber,Automatic,5.298317366548036,3.784189633918261,2.653241964607215,3.091042453358316,Black,Sapphire,Date,3.7376696182833684,4500.0
393,Jaeger-LeCoultre,Master Control,Stainless Steel,Leather,Automatic,3.912023005428146,3.6888794541139363,2.174751721484161,2.995732273553991,Silver,Sapphire,"Date, Power Reserve",4.248495242049359,6000.0
394,Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Automatic,4.605170185988092,3.6888794541139363,2.5257286443082556,2.995732273553991,Black,Sapphire,Dual Time Zone,4.248495242049359,9500.0
395,Omega,Constellation,Stainless Steel,Stainless Steel,Automatic,4.605170185988092,3.6635616461296463,2.3608540011180215,2.995732273553991,Black,Sapphire,Date,3.912023005428146,4800.0
396,Tag Heuer,Monaco,Stainless Steel,Leather,Automatic,4.605170185988092,3.6635616461296463,2.6741486494265287,3.091042453358316,Blue,Sapphire,Chronograph,3.6888794541139363,5200.0
397,Breitling,Chronomat,Stainless Steel,Stainless Steel,Automatic,5.298317366548036,3.784189633918261,2.830267833826459,3.091042453358316,Blue,Sapphire,"Chronograph, Date",4.248495242049359,6900.0
398,Cartier,Santos,Stainless Steel,Stainless Steel,Automatic,4.605170185988092,3.55820113047182,2.178155014615869,2.8903717578961645,Silver,Sapphire,Date,3.7376696182833684,5500.0
399,Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,4.605170185988092,3.713572066704308,2.4595888418037104,2.995732273553991,White,Sapphire,Date,4.248495242049359,8000.0
400,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,4.787491742782046,3.7013019741124933,2.1162555148025524,3.044522437723423,Blue,Sapphire,Date,3.8066624897703196,40000.0
401,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,3.912023005428146,3.6109179126442243,2.1972245773362196,2.772588722239781,Blue,Sapphire,Date,4.0943445622221,18000.0
402,IWC,Portugieser,Stainless Steel,Leather,Automatic,3.4011973816621555,3.6988297849671046,2.509599262378372,3.091042453358316,White,Sapphire,Date,4.0943445622221,7500.0
403,Hublot,Big Bang,Titanium,Rubber,Automatic,4.605170185988092,3.784189633918261,2.6741486494265287,3.2188758248682006,Black,Sapphire,Chronograph,4.276666119016055,14000.0
405,Breguet,Classique,Rose Gold,Leather,Manual,3.4011973816621555,3.6888794541139363,1.916922612182061,2.995732273553991,Silver,Sapphire,None,4.007333185232471,25000.0
406,Jaeger-LeCoultre,Master Ultra Thin,Stainless Steel,Leather,Automatic,3.912023005428146,3.6635616461296463,2.0541237336955462,2.995732273553991,Silver,Sapphire,None,4.248495242049359,6500.0
407,Zenith,El Primero,Stainless Steel,Stainless Steel,Automatic,4.605170185988092,3.7376696182833684,2.545531271604435,2.995732273553991,Blue,Sapphire,Chronograph,3.912023005428146,7000.0
410,Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Automatic,4.605170185988092,3.6888794541139363,2.4932054526026954,2.995732273553991,Black,Sapphire,"GMT, Date",4.248495242049359,9450.0
411,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,4.787491742782046,3.708682081410116,2.1162555148025524,3.044522437723423,Blue,Sapphire,Date,4.007333185232471,29800.0
412,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,3.912023005428146,3.713572066704308,2.2823823856765264,2.995732273553991,Blue,Sapphire,"Date, Chronograph",3.912023005428146,22300.0
413,Hublot,Classic Fusion,Titanium,Rubber,Automatic,3.912023005428146,3.7376696182833684,2.3608540011180215,3.091042453358316,Black,Sapphire,Date,3.7376696182833684,8100.0
414,IWC,Pilot's Watch Mark XVIII,Stainless Steel,Leather,Automatic,4.0943445622221,3.6888794541139363,2.379546134130174,2.995732273553991,Black,Sapphire,Date,3.7376696182833684,3900.0
415,A. Lange & Söhne,Saxonia,Rose Gold,Leather,Manual,3.4011973816621555,3.6506582412937387,2.0541237336955462,2.8903717578961645,Silver,Sapphire,None,4.276666119016055,23300.0
416,Breguet,Classique,Rose Gold,Leather,Automatic,3.4011973816621555,3.6635616461296463,2.157559320943788,2.995732273553991,Silver,Sapphire,Date,4.174387269895637,23200.0
417,Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,3.912023005428146,3.784189633918261,2.667228206581955,3.091042453358316,Black,Sapphire,"Date, Chronograph, Tachymeter",3.7376696182833684,6300.0
418,Zenith,El Primero,Stainless Steel,Leather,Automatic,4.605170185988092,3.6375861597263857,2.5217206229107165,2.995732273553991,White,Sapphire,"Date, Chronograph",3.912023005428146,5600.0
419,Panerai,Luminor,Titanium,Leather,Manual,4.605170185988092,3.784189633918261,2.5687881337687024,3.1780538303479458,Black,Sapphire,None,4.02535169073515,6900.0
420,Rolex,Daytona,Stainless Steel,Stainless Steel,Automatic,4.605170185988092,3.6888794541139363,2.517696472610991,2.995732273553991,White,Sapphire,Chronograph,4.276666119016055,13500.0
421,Omega,Speedmaster,Stainless Steel,Stainless Steel,Manual,3.912023005428146,3.7376696182833684,2.6602595372658615,2.995732273553991,Black,Hesalite,Chronograph,3.871201010907891,4500.0
422,Cartier,Santos,Stainless Steel,Leather,Automatic,4.605170185988092,3.6838669122903918,2.206074192613202,2.995732273553991,Silver,Sapphire,Date,3.7376696182833684,6600.0
425,Jaeger-LeCoultre,Master Ultra Thin,Stainless Steel,Leather,Automatic,3.912023005428146,3.6888794541139363,2.0082140323914683,2.995732273553991,Silver,Sapphire,None,3.7612001156935624,6300.0
426,Patek Philippe,Calatrava,18k Rose Gold,Leather,Manual,3.4011973816621555,3.6375861597263857,2.038619547159581,2.9444389791664403,White,Sapphire,None,3.784189633918261,22900.0
427,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,3.912023005428146,3.713572066704308,2.2823823856765264,2.995732273553991,Black,Sapphire,Date,4.0943445622221,22500.0
428,Zenith,El Primero,Stainless Steel,Stainless Steel,Automatic,4.605170185988092,3.7376696182833684,2.545531271604435,2.995732273553991,Blue,Sapphire,Chronograph,3.912023005428146,6900.0
429,Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,5.0106352940962555,3.713572066704308,2.3978952727983707,2.995732273553991,Black,Sapphire,"Date, World Time",4.0943445622221,20200.0
430,IWC,Portugieser,Stainless Steel,Leather,Automatic,3.4011973816621555,3.6988297849671046,2.533696813957432,2.995732273553991,Silver,Sapphire,None,3.784189633918261,7600.0
432,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,4.787491742782046,3.7013019741124933,2.1162555148025524,3.044522437723423,Blue,Sapphire,Date,3.8066624897703196,34000.0
435,Hublot,Big Bang,Ceramic,Rubber,Automatic,4.605170185988092,3.713572066704308,2.681021528714291,2.995732273553991,Black,Sapphire,Chronograph,3.7376696182833684,14000.0
436,Breguet,Classique,18k Rose Gold,Leather,Manual,3.4011973816621555,3.6635616461296463,2.322387720290225,3.091042453358316,Silver,Sapphire,None,3.6888794541139363,26000.0
437,Zenith,El Primero,Stainless Steel,Leather,Automatic,4.605170185988092,3.6375861597263857,2.5257286443082556,2.995732273553991,Silver,Sapphire,Chronograph,3.912023005428146,7000.0
439,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,4.605170185988092,3.7376696182833684,2.3869262414277967,3.091042453358316,Blue,Sapphire,Date,3.9889840465642745,11500.0
440,Ulysse Nardin,Marine,Stainless Steel,Leather,Automatic,4.605170185988092,3.742420221041966,2.533696813957432,2.995732273553991,Blue,Sapphire,Date,4.0943445622221,7500.0
441,Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,5.0106352940962555,3.7256934272366524,2.3978952727983707,3.091042453358316,Silver,Sapphire,Date,4.0943445622221,20000.0
442,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,4.787491742782046,3.6888794541139363,2.1162555148025524,2.995732273553991,Blue,Sapphire,Date,3.8066624897703196,26000.0
443,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,3.912023005428146,3.713572066704308,2.341805806147327,2.995732273553991,Grey,Sapphire,Date,4.0943445622221,17000.0
444,IWC,Portugieser,Stainless Steel,Leather,Automatic,3.4011973816621555,3.744787086052232,2.653241964607215,3.091042453358316,White,Sapphire,Chronograph,3.828641396489095,7800.0
445,A. Lange & Söhne,Saxonia,18k Rose Gold,Leather,Manual,3.4011973816621555,3.6109179126442243,2.0149030205422647,2.8903717578961645,Silver,Sapphire,None,3.8066624897703196,17500.0
446,Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,5.0106352940962555,3.7495040759303713,2.617395832834079,3.091042453358316,Blue,Sapphire,Date,3.6888794541139363,20000.0
447,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,4.605170185988092,3.713572066704308,2.3869262414277967,3.258096538021482,Black,Sapphire,Chronograph,3.828641396489095,12000.0
448,Zenith,El Primero,Stainless Steel,Leather,Automatic,4.605170185988092,3.7376696182833684,2.545531271604435,3.091042453358316,Silver,Sapphire,Chronograph,3.912023005428146,7500.0
450,Hublot,Classic Fusion,Titanium,Rubber,Automatic,3.912023005428146,3.8066624897703196,2.3933394562625097,3.091042453358316,Blue,Sapphire,None,3.7376696182833684,9500.0
451,Breguet,Classique,18k White Gold,Leather,Manual,3.4011973816621555,3.6375861597263857,2.1102132003465894,2.995732273553991,Silver,Sapphire,None,3.6888794541139363,22000.0
452,Piaget,Polo,Stainless Steel,Stainless Steel,Automatic,4.605170185988092,3.7376696182833684,2.2407096892759584,3.091042453358316,Blue,Sapphire,Date,3.784189633918261,10500.0
453,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,4.787491742782046,3.7013019741124933,2.1162555148025524,3.091042453358316,Blue,Sapphire,Date,3.8066624897703196,29000.0
454,Audemars Piguet,Royal Oak,Rose Gold,Leather,Automatic,3.912023005428146,3.6109179126442243,2.2823823856765264,2.995732273553991,Black,Sapphire,Date,4.0943445622221,38500.0
455,Hublot,Classic Fusion,Titanium,Rubber,Automatic,3.912023005428146,3.7376696182833684,2.2874714551839976,3.091042453358316,Blue,Sapphire,None,3.7376696182833684,7500.0
456,Breguet,Classique,Rose Gold,Leather,Automatic,3.4011973816621555,3.6635616461296463,2.322387720290225,2.995732273553991,Silver,Sapphire,None,4.174387269895637,25000.0
457,IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,4.0943445622221,3.713572066704308,2.72785282839839,2.995732273553991,Black,Sapphire,Date,3.7376696182833684,5900.0
459,Zenith,El Primero,Stainless Steel,Leather,Automatic,4.605170185988092,3.6375861597263857,2.5217206229107165,2.995732273553991,Silver,Sapphire,Chronograph,3.912023005428146,6200.0
460,Chopard,Mille Miglia,Stainless Steel,Rubber,Automatic,3.912023005428146,3.7376696182833684,2.570319527636131,2.995732273553991,Black,Sapphire,Chronograph,3.871201010907891,6800.0
461,Vacheron Constantin,Patrimony,White Gold,Leather,Manual,3.4011973816621555,3.6888794541139363,1.9154509415706047,2.995732273553991,Silver,Sapphire,None,4.174387269895637,28000.0
463,Tudor,Black Bay,Stainless Steel,NATO Strap,Automatic,5.298317366548036,3.713572066704308,2.4765384001174837,3.091042453358316,Black,Sapphire,None,4.248495242049359,3500.0
465,IWC,Portugieser,Stainless Steel,Leather,Automatic,3.4011973816621555,3.713572066704308,2.509599262378372,3.091042453358316,Blue,Sapphire,None,4.0943445622221,7900.0
466,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,4.787491742782046,3.6888794541139363,2.1162555148025524,3.091042453358316,Blue,Sapphire,Date,3.8066624897703196,36000.0
469,Breguet,Classique,18K Yellow Gold,Leather,Automatic,3.4011973816621555,3.6635616461296463,2.322387720290225,2.995732273553991,Silver,Sapphire,Date,3.6375861597263857,26000.0
470,Zenith,Chronomaster,Stainless Steel,Leather,Automatic,3.912023005428146,3.7376696182833684,2.6026896854443837,3.091042453358316,Blue,Sapphire,Chronograph,3.912023005428146,6500.0
471,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,4.605170185988092,3.6375861597263857,2.3869262414277967,2.995732273553991,Blue,Sapphire,Date,3.9889840465642745,12000.0
472,Hublot,Big Bang,Titanium,Rubber,Automatic,4.605170185988092,3.784189633918261,2.6741486494265287,3.1780538303479458,Black,Sapphire,Chronograph,4.276666119016055,18500.0
473,Jaquet Droz,Grande Seconde,Stainless Steel,Leather,Automatic,3.4011973816621555,3.7612001156935624,2.4406063908914204,3.1354942159291497,Black,Sapphire,None,4.219507705176107,9500.0
474,Montblanc,Star Legacy,Stainless Steel,Leather,Automatic,3.912023005428146,3.6635616461296463,2.2925347571405443,2.9444389791664403,Silver,Sapphire,Date,3.7376696182833684,3500.0
475,Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Automatic,4.605170185988092,3.6888794541139363,2.5257286443082556,2.995732273553991,Black,Sapphire,"GMT, Date",4.248495242049359,9900.0
476,Omega,Speedmaster,Stainless Steel,Stainless Steel,Manual,3.912023005428146,3.7376696182833684,2.6602595372658615,2.995732273553991,Black,Hesalite,Chronograph,3.871201010907891,4300.0
477,IWC,Portugieser,Stainless Steel,Leather,Automatic,3.4011973816621555,3.6988297849671046,2.509599262378372,2.995732273553991,White,Sapphire,None,4.0943445622221,7500.0
478,Hublot,Big Bang,Ceramic,Rubber,Automatic,4.605170185988092,3.784189633918261,2.6741486494265287,3.1780538303479458,Black,Sapphire,Chronograph,4.276666119016055,15500.0
480,Patek Philippe,Calatrava,White Gold,Leather,Automatic,3.4011973816621555,3.6109179126442243,2.1400661634962708,2.8903717578961645,White,Sapphire,Date,3.8066624897703196,25000.0
481,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,3.912023005428146,3.713572066704308,2.341805806147327,2.995732273553991,Blue,Sapphire,Date,4.0943445622221,19500.0
482,Vacheron Constantin,Patrimony,Rose Gold,Leather,Automatic,3.4011973816621555,3.6888794541139363,1.9154509415706047,2.995732273553991,White,Sapphire,None,3.6888794541139363,15000.0
484,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,4.605170185988092,3.7376696182833684,2.3869262414277967,3.2188758248682006,Blue,Sapphire,None,3.9889840465642745,7500.0
485,Jaquet Droz,Grande Seconde,Stainless Steel,Leather,Automatic,3.4011973816621555,3.7612001156935624,2.4406063908914204,3.091042453358316,White,Sapphire,None,4.219507705176107,8500.0
486,Rolex,Datejust,Stainless Steel,Jubilee Bracelet,Automatic,4.605170185988092,3.58351893845611,2.4849066497880004,2.995732273553991,Blue,Sapphire,Date,4.248495242049359,7650.0
487,Omega,Speedmaster,Stainless Steel,Stainless Steel,Manual,3.912023005428146,3.7376696182833684,2.6602595372658615,2.995732273553991,Black,Hesalite,Chronograph,3.871201010907891,5200.0
488,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,4.787491742782046,3.7013019741124933,2.1162555148025524,2.995732273553991,Blue,Sapphire,"Date, Chronograph",4.007333185232471,67000.0
489,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,3.912023005428146,3.713572066704308,2.2823823856765264,2.995732273553991,Blue,Sapphire,"Date, Power Reserve",4.0943445622221,25000.0
490,Cartier,Ballon Bleu,Stainless Steel,Stainless Steel,Automatic,3.4011973816621555,3.6000482404073204,2.489064659936664,2.8903717578961645,Silver,Sapphire,Date,3.7376696182833684,4700.0
491,IWC,Portugieser,Stainless Steel,Leather,Automatic,3.4011973816621555,3.744787086052232,2.653241964607215,3.091042453358316,Blue,Sapphire,None,4.0943445622221,9100.0
492,Jaeger-LeCoultre,Master Control,Stainless Steel,Leather,Automatic,3.912023005428146,3.6635616461296463,2.1400661634962708,2.995732273553991,Silver,Sapphire,"Date, Moonphase",4.248495242049359,8200.0
494,Breguet,Classique,18K Rose Gold,Leather,Automatic,3.4011973816621555,3.6635616461296463,2.2925347571405443,3.091042453358316,White,Sapphire,"Date, Moonphase",4.174387269895637,27900.0
495,Chopard,Mille Miglia,Stainless Steel,Rubber,Automatic,3.912023005428146,3.7376696182833684,2.5392369943330477,2.995732273553991,Black,Sapphire,"Chronograph, Date",3.7376696182833684,6500.0
496,Seiko,Prospex,Stainless Steel,Silicone,Automatic,5.298317366548036,3.7909846770510898,2.5726122302071057,3.091042453358316,Black,Hardlex,"Date, GMT",3.912023005428146,1200.0
498,IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,4.0943445622221,3.6635616461296463,2.3850863145057892,2.995732273553991,Black,Sapphire,Date,3.7376696182833684,4500.0
500,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,4.787491742782046,3.7013019741124933,2.1162555148025524,2.995732273553991,Blue,Sapphire,Date,3.8066624897703196,35000.0
501,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,3.912023005428146,3.713572066704308,2.341805806147327,2.995732273553991,Black,Sapphire,Date,4.0943445622221,24000.0
502,Breguet,Classique,18k Rose Gold,Leather,Automatic,3.4011973816621555,3.6506582412937387,2.1102132003465894,2.995732273553991,White,Sapphire,Date,3.6375861597263857,21500.0
504,Longines,Master Collection,Stainless Steel,Leather,Automatic,3.4011973816621555,3.6506582412937387,2.272125885509337,2.995732273553991,Blue,Sapphire,Date,4.1588830833596715,1800.0
505,Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,5.0106352940962555,3.7256934272366524,2.3978952727983707,3.091042453358316,Blue,Sapphire,Date,3.6888794541139363,19000.0
506,Frederique Constant,Classics,Stainless Steel,Leather,Automatic,3.912023005428146,3.6888794541139363,2.3608540011180215,2.995732273553991,Silver,Sapphire,Date,3.6375861597263857,1200.0
